DATE,TEDRATE
1986-01-01,1.08
1986-02-01,0.95
1986-03-01,1.00
1986-04-01,0.88
1986-05-01,0.84
1986-06-01,0.86
1986-07-01,0.83
1986-08-01,0.66
1986-09-01,0.80
1986-10-01,0.82
1986-11-01,0.73
1986-12-01,0.86
1987-01-01,0.79
1987-02-01,0.85
1987-03-01,0.90
1987-04-01,1.23
1987-05-01,1.71
1987-06-01,1.57
1987-07-01,1.30
1987-08-01,1.01
1987-09-01,1.24
1987-10-01,2.26
1987-11-01,1.84
1987-12-01,2.21
1988-01-01,1.42
1988-02-01,1.18
1988-03-01,1.15
1988-04-01,1.29
1988-05-01,1.25
1988-06-01,1.28
1988-07-01,1.49
1988-08-01,1.54
1988-09-01,1.18
1988-10-01,1.28
1988-11-01,1.25
1988-12-01,1.35
1989-01-01,1.14
1989-02-01,1.20
1989-03-01,1.50
1989-04-01,1.52
1989-05-01,1.34
1989-06-01,1.25
1989-07-01,1.08
1989-08-01,0.93
1989-09-01,1.22
1989-10-01,1.15
1989-11-01,0.87
1989-12-01,0.89
1990-01-01,0.71
1990-02-01,0.62
1990-03-01,0.59
1990-04-01,0.79
1990-05-01,0.74
1990-06-01,0.62
1990-07-01,0.60
1990-08-01,0.65
1990-09-01,0.84
1990-10-01,1.00
1990-11-01,1.11
1990-12-01,1.17
1991-01-01,1.12
1991-02-01,0.77
1991-03-01,0.66
1991-04-01,0.58
1991-05-01,0.60
1991-06-01,0.63
1991-07-01,0.56
1991-08-01,0.44
1991-09-01,0.40
1991-10-01,0.48
1991-11-01,0.52
1991-12-01,0.52
1992-01-01,0.38
1992-02-01,0.33
1992-03-01,0.35
1992-04-01,0.42
1992-05-01,0.33
1992-06-01,0.34
1992-07-01,0.31
1992-08-01,0.33
1992-09-01,0.38
1992-10-01,0.58
1992-11-01,0.66
1992-12-01,0.42
1993-01-01,0.35
1993-02-01,0.31
1993-03-01,0.29
1993-04-01,0.36
1993-05-01,0.28
1993-06-01,0.27
1993-07-01,0.26
1993-08-01,0.24
1993-09-01,0.27
1993-10-01,0.37
1993-11-01,0.38
1993-12-01,0.32
1994-01-01,0.30
1994-02-01,0.30
1994-03-01,0.38
1994-04-01,0.44
1994-05-01,0.49
1994-06-01,0.50
1994-07-01,0.52
1994-08-01,0.44
1994-09-01,0.51
1994-10-01,0.68
1994-11-01,0.59
1994-12-01,0.79
1995-01-01,0.63
1995-02-01,0.49
1995-03-01,0.54
1995-04-01,0.58
1995-05-01,0.45
1995-06-01,0.53
1995-07-01,0.47
1995-08-01,0.50
1995-09-01,0.59
1995-10-01,0.66
1995-11-01,0.52
1995-12-01,0.61
1996-01-01,0.55
1996-02-01,0.45
1996-03-01,0.43
1996-04-01,0.55
1996-05-01,0.48
1996-06-01,0.48
1996-07-01,0.49
1996-08-01,0.48
1996-09-01,0.53
1996-10-01,0.56
1996-11-01,0.47
1996-12-01,0.64
1997-01-01,0.53
1997-02-01,0.51
1997-03-01,0.48
1997-04-01,0.67
1997-05-01,0.77
1997-06-01,0.91
1997-07-01,0.69
1997-08-01,0.59
1997-09-01,0.77
1997-10-01,0.79
1997-11-01,0.70
1997-12-01,0.75
1998-01-01,0.61
1998-02-01,0.55
1998-03-01,0.66
1998-04-01,0.75
1998-05-01,0.69
1998-06-01,0.72
1998-07-01,0.73
1998-08-01,0.78
1998-09-01,0.89
1998-10-01,1.31
1998-11-01,0.91
1998-12-01,0.84
1999-01-01,0.67
1999-02-01,0.56
1999-03-01,0.56
1999-04-01,0.71
1999-05-01,0.52
1999-06-01,0.61
1999-07-01,0.76
1999-08-01,0.73
1999-09-01,0.89
1999-10-01,1.32
1999-11-01,1.03
1999-12-01,0.93
2000-01-01,0.72
2000-02-01,0.55
2000-03-01,0.50
2000-04-01,0.65
2000-05-01,0.96
2000-06-01,1.10
2000-07-01,0.78
2000-08-01,0.60
2000-09-01,0.68
2000-10-01,0.67
2000-11-01,0.58
2000-12-01,0.77
2001-01-01,0.55
2001-02-01,0.46
2001-03-01,0.54
2001-04-01,0.75
2001-05-01,0.48
2001-06-01,0.35
2001-07-01,0.23
2001-08-01,0.21
2001-09-01,0.35
2001-10-01,0.24
2001-11-01,0.23
2001-12-01,0.24
2002-01-01,0.17
2002-02-01,0.18
2002-03-01,0.20
2002-04-01,0.26
2002-05-01,0.18
2002-06-01,0.18
2002-07-01,0.16
2002-08-01,0.16
2002-09-01,0.18
2002-10-01,0.20
2002-11-01,0.23
2002-12-01,0.21
2003-01-01,0.20
2003-02-01,0.18
2003-03-01,0.16
2003-04-01,0.17
2003-05-01,0.22
2003-06-01,0.21
2003-07-01,0.21
2003-08-01,0.19
2003-09-01,0.21
2003-10-01,0.24
2003-11-01,0.24
2003-12-01,0.27
2004-01-01,0.25
2004-02-01,0.20
2004-03-01,0.18
2004-04-01,0.21
2004-05-01,0.23
2004-06-01,0.23
2004-07-01,0.30
2004-08-01,0.26
2004-09-01,0.25
2004-10-01,0.32
2004-11-01,0.23
2004-12-01,0.31
2005-01-01,0.33
2005-02-01,0.28
2005-03-01,0.29
2005-04-01,0.37
2005-05-01,0.43
2005-06-01,0.45
2005-07-01,0.40
2005-08-01,0.36
2005-09-01,0.49
2005-10-01,0.46
2005-11-01,0.47
2005-12-01,0.61
2006-01-01,0.37
2006-02-01,0.32
2006-03-01,0.41
2006-04-01,0.47
2006-05-01,0.47
2006-06-01,0.59
2006-07-01,0.55
2006-08-01,0.46
2006-09-01,0.58
2006-10-01,0.46
2006-11-01,0.43
2006-12-01,0.51
2007-01-01,0.38
2007-02-01,0.33
2007-03-01,0.41
2007-04-01,0.49
2007-05-01,0.63
2007-06-01,0.75
2007-07-01,0.54
2007-08-01,1.30
2007-09-01,1.59
2007-10-01,1.24
2007-11-01,1.69
2007-12-01,2.00
2008-01-01,1.17
2008-02-01,0.96
2008-03-01,1.52
2008-04-01,1.50
2008-05-01,0.95
2008-06-01,0.91
2008-07-01,1.17
2008-08-01,1.08
2008-09-01,2.00
2008-10-01,3.35
2008-11-01,2.10
2008-12-01,1.80
2009-01-01,1.08
2009-02-01,0.95
2009-03-01,1.05
2009-04-01,0.95
2009-05-01,0.64
2009-06-01,0.44
2009-07-01,0.33
2009-08-01,0.25
2009-09-01,0.17
2009-10-01,0.21
2009-11-01,0.22
2009-12-01,0.20
2010-01-01,0.19
2010-02-01,0.14
2010-03-01,0.12
2010-04-01,0.15
2010-05-01,0.30
2010-06-01,0.41
2010-07-01,0.35
2010-08-01,0.21
2010-09-01,0.14
2010-10-01,0.16
2010-11-01,0.14
2010-12-01,0.16
2011-01-01,0.15
2011-02-01,0.18
2011-03-01,0.21
2011-04-01,0.22
2011-05-01,0.22
2011-06-01,0.21
2011-07-01,0.21
2011-08-01,0.27
2011-09-01,0.34
2011-10-01,0.39
2011-11-01,0.46
2011-12-01,0.55
2012-01-01,0.53
2012-02-01,0.41
2012-03-01,0.39
2012-04-01,0.39
2012-05-01,0.38
2012-06-01,0.37
2012-07-01,0.36
2012-08-01,0.33
2012-09-01,0.28
2012-10-01,0.22
2012-11-01,0.22
2012-12-01,0.24
2013-01-01,0.23
2013-02-01,0.19
2013-03-01,0.19
2013-04-01,0.22
2013-05-01,0.23
2013-06-01,0.22
2013-07-01,0.23
2013-08-01,0.22
2013-09-01,0.24
2013-10-01,0.19
2013-11-01,0.17
2013-12-01,0.18
2014-01-01,0.20
2014-02-01,0.18
2014-03-01,0.18
2014-04-01,0.20
2014-05-01,0.19
2014-06-01,0.19
2014-07-01,0.21
2014-08-01,0.20
2014-09-01,0.21
2014-10-01,0.21
2014-11-01,0.21
2014-12-01,0.22
2015-01-01,0.23
2015-02-01,0.24
2015-03-01,0.24
2015-04-01,0.25
2015-05-01,0.26
2015-06-01,0.27
2015-07-01,0.26
2015-08-01,0.25
2015-09-01,0.31
2015-10-01,0.31
2015-11-01,0.24
2015-12-01,0.31
2016-01-01,0.36
2016-02-01,0.31
2016-03-01,0.34
2016-04-01,0.40
2016-05-01,0.36
2016-06-01,0.38
2016-07-01,0.40
2016-08-01,0.52
2016-09-01,0.56
2016-10-01,0.55
2016-11-01,0.46
2016-12-01,0.47
2017-01-01,0.51
2017-02-01,0.52
2017-03-01,0.40
2017-04-01,0.36
2017-05-01,0.29
2017-06-01,0.28
2017-07-01,0.24
2017-08-01,0.30
2017-09-01,0.29
2017-10-01,0.29
2017-11-01,0.20
2017-12-01,0.29
2018-01-01,.
